oa_code,rnk,appliance_callsign,drive_time
E00076520,1,KV48P1,3.14
E00076521,1,KV48P1,2.37
E00076522,1,KV48P1,1.82
E00076523,1,KV48P1,2.11
E00076524,1,KV48P1,2.5
E00076525,1,KV48P1,2.36
E00076526,1,KV48P1,3.11
E00076527,1,KV48P1,2.42
E00076528,1,KV48P1,2.26
E00076529,1,KV48P1,2.29
E00076530,1,KV48P1,2.14
E00076531,1,KV48P1,2.57
E00076532,1,KV50P2,2.65
E00076534,1,KV50P2,3.31
E00076535,1,KV50P2,2.56
E00076536,1,KV50P2,2.71
E00076537,1,KV50P2,3.43
E00076538,1,KV50P2,4.08
E00076539,1,KV50P2,3.26
E00076540,1,KV50P2,1.89
E00076541,1,KV50P2,2.14
E00076542,1,KV50P2,1.96
E00076543,1,KV50P2,1.99
E00076544,1,KV50P2,2.2
E00076545,1,KV50P2,3.7
E00076546,1,KV50P2,2.06
E00076547,1,KV50P2,2.32
E00076548,1,KV50P2,2.14
E00076549,1,KV50P2,2.39
E00076550,1,KV50P2,2.58
E00076551,1,KV50P2,2.26
E00076552,1,KV50P2,2.19
E00076553,1,KV50P1,0.71
E00076554,1,KV50P2,2.87
E00076556,1,KV50P2,2.97
E00076557,1,KV50P2,2.7
E00076558,1,KV50P2,1.93
E00076559,1,KV50P2,1.77
E00076560,1,KV50P2,2.7
E00076561,1,KV50P2,2.34
E00076563,1,KV50P2,3.35
E00076564,1,KV50P2,1.51
E00076565,1,KV50P2,3.19
E00076566,1,KV50P2,2.77
E00076567,1,KV50P2,3.1
E00076568,1,KV50P2,1.97
E00076569,1,KV50P2,1.73
E00076571,1,KV50P2,1.8
E00076572,1,KV50P2,3.53
E00076573,1,KV50P2,2.07
E00076574,1,KV50P2,2.11
E00076575,1,KV50P2,1.63
E00076577,1,KV50P2,2.0
E00076578,1,KV50P2,2.93
E00076579,1,KV50P2,2.34
E00076580,1,KV50P2,2.71
E00076581,1,KV50P2,2.47
E00076582,1,KV50P2,3.97
E00076583,1,KV50P2,2.37
E00076584,1,KV50P2,3.03
E00076585,1,KV50P2,3.88
E00076588,1,KV49P1,3.53
E00076589,1,KV49P1,4.1
E00076590,1,KV49P1,3.44
E00076591,1,KV49P1,3.96
E00076592,1,KV49P1,3.3
E00076593,1,KV49P1,3.86
E00076594,1,KV49P1,2.84
E00076595,1,KV49P1,4.21
E00076596,1,KV49P1,3.05
E00076597,1,KV49P1,3.61
E00076598,1,KV49P1,3.74
E00076599,1,KV49P1,3.96
